framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,compile,1319724,1024,32,841767352,2794,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,witness,1319724,1024,32,1366795848,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,1319724,1024,32,17318011032,24615,1168,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,verify,1319724,1024,32,11669270408,10,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,2558636,2048,32,23591205448,42310,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,compile,2558636,2048,32,1595772520,5430,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,witness,2558636,2048,32,2706536328,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,2558636,2048,32,31454383448,47534,1168,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,verify,2558636,2048,32,21050059768,10,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,setup,5036460,4096,32,41538520696,84119,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,compile,5036460,4096,32,3206294536,10648,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,witness,5036460,4096,32,5356849704,2,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,prove,5036460,4096,32,62233788696,93858,1168,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,verify,5036460,4096,32,40160236856,10,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_13.json,setup,9992108,8192,32,79598395096,168830,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_13.json,compile,9992108,8192,32,5822357304,21385,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_13.json,witness,9992108,8192,32,10795963656,4,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_13.json,prove,9992108,8192,32,106282092248,187701,1168,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_13.json,verify,9992108,8192,32,76862988360,10,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_14.json,compile,19903404,16384,32,12350557592,42616,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_14.json,witness,19903404,16384,32,21436727720,10,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_15.json,compile,39725996,32768,32,25629035368,85886,0,10,
