framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,2558636,2048,32,83550053952,2440018,239824,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,compile,5036460,4096,32,2808728456,10718,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,witness,5036460,4096,32,2144112392,2,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_12.json,prove,5036460,4096,32,135597425920,4917137,253704,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_13.json,compile,9992108,8192,32,7000429672,21271,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_13.json,witness,9992108,8192,32,4405632776,5,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_14.json,compile,19903404,16384,32,12557922760,42705,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_14.json,witness,19903404,16384,32,9235179112,10,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_15.json,compile,39725996,32768,32,26771246184,86521,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_15.json,witness,39725996,32768,32,16238763592,20,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,3029046696,74054,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,70874376,155,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,51475720,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,2537701688,76028,173784,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,6012081128,148108,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,103383320,322,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,88899864,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,5146897160,151629,186544,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_7.json,setup,235676,128,32,6018893784,147957,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_7.json,compile,235676,128,32,128614680,478,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_7.json,witness,235676,128,32,101810456,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_7.json,prove,235676,128,32,5239178024,152001,186544,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_8.json,setup,390540,256,32,11172178248,296619,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_8.json,compile,390540,256,32,242522424,805,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_8.json,witness,390540,256,32,166825256,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_8.json,prove,390540,256,32,9980139832,303655,199528,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_9.json,setup,700268,512,32,23490371832,593540,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_9.json,compile,700268,512,32,446512488,1477,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_9.json,witness,700268,512,32,319595848,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_9.json,prove,700268,512,32,20730389096,608666,212736,10,
